Cluster 1:
[28]	{28, 10}
[2]	{33, 18}
[11]	{23, 9}
[22]	{33, 16}
[24]	{28, 11}
[35]	{28, 13}
[37]	{35, 13}
[38]	{25, 14}
[39]	{23, 16}
[41]	{35, 14}
[44]	{25, 4}
[46]	{28, 3}
[47]	{25, 2}
[48]	{32, 6}
[51]	{21, 17}
[57]	{25, 15}
[62]	{34, 8}
[63]	{35, 8}
[64]	{33, 10}
[66]	{22, 5}
[80]	{25, 6}
[84]	{20, 4}
[91]	{25, 17}
[92]	{32, 19}
[96]	{24, 8}
[98]	{25, 14}
[8]	{27, 23}
[17]	{32, 27}
[27]	{28, 24}
[32]	{29, 24}
[42]	{29, 21}
[49]	{36, 17}
[50]	{38, 24}
[58]	{35, 18}
[70]	{31, 21}
[83]	{38, 14}
[15]	{16, 15}
[34]	{17, 8}
[72]	{18, 17}
[75]	{15, 6}
[94]	{16, 5}
[95]	{23, 20}
[20]	{19, 21}
[36]	{18, 21}
[16]	{17, 26}
[55]	{14, 24}
[76]	{12, 18}
[78]	{14, 23}
[7]	{12, 2}
[82]	{13, 10}
[52]	{31, 28}
[19]	{19, 29}
[40]	{25, 29}
[71]	{30, 31}
[90]	{23, 27}
[43]	{37, 35}
[86]	{26, 34}
[100]	{39, 32}
[30]	{10, 23}
[45]	{11, 18}
[60]	{8, 12}
[1]	{7, 9}
[9]	{7, 9}
[65]	{6, 2}
[79]	{9, 0}
[73]	{16, 30}
[3]	{10, 32}
[18]	{10, 33}
[56]	{9, 31}
[69]	{15, 32}
[97]	{15, 35}
[23]	{5, 25}
[68]	{7, 21}
[93]	{7, 25}
[85]	{6, 14}
[87]	{3, 18}
[12]	{29, 37}
[25]	{34, 37}
[14]	{19, 38}
[53]	{17, 38}
[54]	{17, 37}
[61]	{20, 37}
[4]	{24, 38}
[89]	{30, 39}
[59]	{22, 39}
[5]	{3, 29}
[21]	{7, 32}
[31]	{2, 26}
[81]	{3, 26}
[88]	{4, 30}
[10]	{0, 12}
[13]	{0, 13}
[33]	{1, 13}
[67]	{2, 12}
[99]	{2, 11}
[6]	{0, 5}
[77]	{15, 39}
[26]	{1, 33}
[29]	{4, 36}
[74]	{0, 39}

––––––––––––––––––––––––––

